Latency Threads Actors Messages MaxLength
-2.0 3.8592701419999997 10.0 5000.0 10000.0
-2.0 20.416919016399998 10.0 5000.0 50000.0
-2.0 40.5526451665 10.0 5000.0 100000.0
-2.0 0.0571795759 10.0 10000.0 100.0
-2.0 0.36991491719999997 10.0 10000.0 500.0
-2.0 0.7737415003 10.0 10000.0 1000.0
-2.0 4.2205098987 10.0 10000.0 5000.0
-2.0 8.0680315845 10.0 10000.0 10000.0
-2.0 39.58242979890001 10.0 10000.0 50000.0
-2.0 83.6493687453 10.0 10000.0 100000.0
-2.0 0.001329352 100.0 100.0 100.0
-2.0 0.004501179899999999 100.0 100.0 500.0
-2.0 0.0077123216 100.0 100.0 1000.0
-2.0 0.0288378433 100.0 100.0 5000.0
-2.0 0.054272152899999995 100.0 100.0 10000.0
-2.0 0.27123287120000006 100.0 100.0 50000.0
-2.0 0.6053329615999999 100.0 100.0 100000.0
-2.0 0.0022352423 100.0 500.0 100.0
-2.0 0.0092277445 100.0 500.0 500.0
-2.0 0.0175476435 100.0 500.0 1000.0
-2.0 0.0822813712 100.0 500.0 5000.0
-2.0 0.1753851659 100.0 500.0 10000.0
-2.0 1.0135964565999998 100.0 500.0 50000.0
-2.0 2.0703471021000004 100.0 500.0 100000.0
-2.0 0.004222806599999999 100.0 1000.0 100.0
-2.0 0.0166511329 100.0 1000.0 500.0
-2.0 0.0363541202 100.0 1000.0 1000.0
-2.0 0.1695237293 100.0 1000.0 5000.0
-2.0 0.3689310911 100.0 1000.0 10000.0
-2.0 1.9634573852000003 100.0 1000.0 50000.0
-2.0 4.0548573321 100.0 1000.0 100000.0
-2.0 0.0161443784 100.0 5000.0 100.0
-2.0 0.0827021158 100.0 5000.0 500.0
-2.0 0.14844138349999997 100.0 5000.0 1000.0
-2.0 0.8821073894 100.0 5000.0 5000.0
-2.0 1.7727660342 100.0 5000.0 10000.0
-2.0 9.882966262700002 100.0 5000.0 50000.0
-2.0 20.1459633734 100.0 5000.0 100000.0
-2.0 0.0333159198 100.0 10000.0 100.0
-2.0 0.19365940309999996 100.0 10000.0 500.0
-2.0 0.4247032182 100.0 10000.0 1000.0
-2.0 2.0859573763 100.0 10000.0 5000.0
-2.0 4.8019298895 100.0 10000.0 10000.0
-2.0 23.824654141399996 100.0 10000.0 50000.0
-2.0 49.4968349827 100.0 10000.0 100000.0
-2.0 0.0045928815 1000.0 100.0 100.0
-2.0 0.0247747986 1000.0 100.0 500.0
-2.0 0.0507103451 1000.0 100.0 1000.0
-2.0 0.2103820186 1000.0 100.0 5000.0
-2.0 0.3788045603 1000.0 100.0 10000.0
-2.0 1.7174787102 1000.0 100.0 50000.0
-2.0 3.3675209816999994 1000.0 100.0 100000.0
-2.0 0.0098309217 1000.0 500.0 100.0
-2.0 0.03125824180000001 1000.0 500.0 500.0
